Railway: Thameslink Core; Timetable: Thameslink Core Monday 29.06.2026;  Start time: 04:00

Departs from Blackfriars,05:54,06:24,06:54,07:24,07:54,08:24,08:54,09:24,09:54,10:24,10:54,11:24,11:54,12:24,12:54,13:24,13:54,14:24,14:54,15:24,15:54,16:24,16:54,17:24,17:54,18:24,18:54,19:24,19:54,20:24,20:54,21:24,21:54,22:24,22:54,23:24
Exits railway at T/F London Bridge,
allowable exit element(s): 78-21 ,05:56,06:26,06:56,07:26,07:56,08:26,08:56,09:26,09:56,10:26,10:56,11:26,11:56,12:26,12:56,13:26,13:56,14:26,14:56,15:26,15:56,16:26,16:56,17:26,17:56,18:26,18:56,19:26,19:56,20:26,20:56,21:26,21:56,22:26,22:56,23:26


Horsham - Peterborough [TL] - Class 700/1; Mass 410Te; Power 5000kW; Brake force 152Te; Maximum speed 161 km/h
,9J08,9J10,9J12,9J14,9J16,9J18,9J20,9J22,9J24,9J26,9J28,9J30,9J32,9J34,9J36,9J38,9J40,9J42,9J44,9J46,9J48,9J50,9J52,9J54,9J56,9J58,9J60,9J62,9J64,9J66,9J68,9J70,9J72,9J74,9J76

Enters at T/F London Bridge,06:32,07:02,07:32,08:02,08:32,09:02,09:32,10:02,10:32,11:02,11:32,12:02,12:32,13:02,13:32,14:02,14:32,15:02,15:32,16:02,16:32,17:02,17:32,18:02,18:32,19:02,19:32,20:02,20:32,21:02,21:32,22:02,22:32,23:02,23:32
Arrives at Blackfriars,06:36,07:06,07:36,08:06,08:36,09:06,09:36,10:06,10:36,11:06,11:36,12:06,12:36,13:06,13:36,14:06,14:36,15:06,15:36,16:06,16:36,17:06,17:36,18:06,18:36,19:06,19:36,20:06,20:36,21:06,21:36,22:06,22:36,23:06,23:36
Departs from Blackfriars,06:37,07:07,07:37,08:07,08:37,09:07,09:37,10:07,10:37,11:07,11:37,12:07,12:37,13:07,13:37,14:07,14:37,15:07,15:37,16:07,16:37,17:07,17:37,18:07,18:37,19:07,19:37,20:07,20:37,21:07,21:37,22:07,22:37,23:07,23:37
Arrives at City Thameslink,06:38,07:08,07:38,08:08,08:38,09:08,09:38,10:08,10:38,11:08,11:38,12:08,12:38,13:08,13:38,14:08,14:38,15:08,15:38,16:08,16:38,17:08,17:38,18:08,18:38,19:08,19:38,20:08,20:38,21:08,21:38,22:08,22:38,23:08,23:38
Departs from City Thameslink,06:39,07:09,07:39,08:09,08:39,09:09,09:39,10:09,10:39,11:09,11:39,12:09,12:39,13:09,13:39,14:09,14:39,15:09,15:39,16:09,16:39,17:09,17:39,18:09,18:39,19:09,19:39,20:09,20:39,21:09,21:39,22:09,22:39,23:09,23:39
Arrives at Farringdon,06:40,07:10,07:40,08:10,08:40,09:10,09:40,10:10,10:40,11:10,11:40,12:10,12:40,13:10,13:40,14:10,14:40,15:10,15:40,16:10,16:40,17:10,17:40,18:10,18:40,19:10,19:40,20:10,20:40,21:10,21:40,22:10,22:40,23:10,23:40
